Word,Meaning
Kapitel 1,Guten Tag!
Sprache?)  here,your  (What are the words called in
Sprache?)  here,what (What are the words called in
wie heißt du?)  here,"to be sorry (I'm sorry, what is your"
"nz (Wie geht's? - Ganz gut, danke.)  here","pretty  (How are you? - Pretty good,"
aus (+ D.)  (Ich komme aus Deutschland.)  here,from (I'm from Germany.)
Aufgabe 4.)  here,like (Conduct an interview like in
Telefonnummer.)  here,about (Ask about the telephone
8c zu (Arbeiten Sie zu zweit.)  here,as (Work as a pair.)
zweit (Arbeiten Sie zu zweit.)  here,pair (Work as a pair.)
Seite 6 Kapitel 2,"Freunde, Kollegen und ich"
gern Musik? - Es geht so.)  here,to be okay (Do you like listening to
tt (Arbeiten Sie zu dritt.)  here,threes (Work in threes)
Satzmelodie.)  here,to (Pay attention to the intonation.)
mmt  (der bestimmte Artikel)  here,definite (the definite article)
mehrere Möglichkeiten.)  here,to be (There are several
b (+ D.)  (Nennen Sie die Zahlen ab 20.)  here,starting at (Name all numbers
"ch (Kennen Sie noch andere Berufe?)  yet, even, here",any (Do you know any
Angaben.)  here,information (Give personal
Kapitel 3,In Hamburg
"rt, -e here",village
2a grüezi Swiss word for,hello
Tagen über 100 Filme.)  here,over the course of (40.000 film fans
llen (eine Frage stellen)  here,to ask (to ask a question)
Kapitel 4,Guten Appetit!
mehr (Wir haben keinen Käse mehr.)  here,anymore (We don't have any
stimmt.)  here,to be true (Olives are often
twas  (Sonst noch etwas?)  here,anything (Anything else?)
gut (Kommst du? - Also gut …)  here,alright (Are you coming? - Alright
lb (Ich frühstücke um halb acht.)  here,half past (I eat breakfast at half
führen  (ein Gespräch führen)  here,to have (to have a conversation)
Kapitel 5,Alltag und Familie
4b vor (+ D.)  (Es ist fünf vor zwei.)  here,to (It is five to two.)
rz (Es ist kurz nach acht.)  here,just (It's just after eight.)
eine Karte.)  here,to draw (Draw a card.)
okay?)  here,modal particle (cannot be
frei.)  here,available (Sadly there is no
einen Termin.)  here,to make (I would like to make an
nichts.)  here,to matter (I'm sorry! - It doesn't
Seite 24 Kapitel 6,Zeit mit Freunden
nn (Was denn?)  then ( here,modal particle ) (What?)
wird am Samstag 30.)  here,to turn (Sofia turns 30 on
chtung  (Sg. ohne Artikel)  (Achtung,
Sofia weiß nichts!)  careful (Careful,Sofia  doesn't know
sst (Achtung,
Kapitel 7,Arbeitsalltag
ch (Kommst du heute nicht? - Doch.)  here,on the contrary (Are you not
"klar (Und, wie geht's? - Alles klar.)  here","good (And, how are you? - All good.)"
auswendig.)  here,to memorise (Memorise the
freundlich  (Mit freundlichen Grüßen)  here,sincerely (Yours sincerely)
"oder (Das ist schrecklich, oder?)  here","right (That's terrible, right?)"
Seite 31 Kapitel 8,Fit und gesund
"pt, -e here",prescription
cht (Mir ist so schlecht.)  here,sick (I feel so sick.)
gegen (+ A.)  here,for
gegen den Husten.)  here,syrup (Take some syrup for the
Seite 35 Kapitel 9,Meine Wohnung
eine Wohnung gezogen.)  here,to move (Beata moved into a flat.)
Bahnhof.)  here,right (The flat is right at central
Kapitel 10,Studium und Beruf
"nkt, -e (Geben Sie  Punkte",Was ist
"wichtig, was nicht?)  point (Give different points",What is
passiert?)  to be  here,to happen  (What has
Kapitel 11,Die Jacke gefällt mir!
Seite 45 Kapitel 12,Ab in den  Urlaub!
rst here,only
"nn, ""-er (Mann, bin ich froh!)  here","boy (Oh boy, was I glad!)"
